LATITUDE,LONGITUDE,
24.52095557,118.1421757,
24.46915913,118.17465275,
24.53055232,118.12628946,
24.48912253,118.15479408,
24.51082491,118.09518703,
24.47495947,118.18230413,
24.50128909,118.12155657,
24.49238507,118.12278462,
24.48657285,118.11772578,
24.47567734,118.12148103,
24.51351105,118.14944989,
24.47756892,118.10421969,
24.48300761,118.18142609,
24.47891444,118.12826765,
24.5080704,118.13089433,
24.4796161,118.13861211,
24.49071082,118.09220953,
24.48833456,118.1765221,
24.46587437,118.08791305,
24.49210092,118.11659469,
24.48830456,118.1333867,
24.47312837,118.16849694,
24.48640635,118.1384572,
24.50112504,118.12800054,
24.4978929,118.11433092,
24.53657273,118.15999237,
24.51244995,118.10795744,
24.48050182,118.1479214,
24.4667478,118.16419158,
24.48777775,118.18978094,
24.50231735,118.18612208,
24.49646241,118.12159116,
24.50937655,118.18371746,
24.45994003,118.06949476,
24.49413592,118.13497447,
24.49645272,118.18873256,
24.47474462,118.10944949,
24.49388951,118.16394802,
24.52844858,118.10096991,
24.49578003,118.12772132,
24.47895347,118.0901674,
24.46808465,118.07250428,
24.47298649,118.11541747,
24.46670259,118.08121882,
24.48498457,118.10273152,
24.47871017,118.16315199,
24.54559496,118.11300574,
24.49975661,118.13692817,
24.49858887,118.14802963,
24.50985314,118.088297
24.47563362,118.17677158,
24.47561793,118.09768302,
24.48914451,118.1096235,
24.47877578,118.11458082,
24.4796779,118.07763694,
24.48343305,118.0894807,
24.53083527,118.15404802,
24.50937262,118.14334393,
24.46942329,118.09887415,
24.47996247,118.15589523,
24.51504171,118.15589418,
24.52144973,118.1138009,
24.4599637,118.08692181,
24.50675814,118.12418875,
24.50915636,118.17160029,
24.52047361,118.13148059,
24.48967589,118.12607849,
24.48300737,118.11330149,
24.48741418,118.09722305,
24.49283714,118.10145586,
24.46335983,118.10648635,
24.4866646,118.16872182,
24.49116396,118.14857049,
24.48388764,118.17424013,
24.54472295,118.14577709,
24.53344331,118.14706088,
24.47969106,118.17006549,
24.52589558,118.17689474,
24.49356078,118.17072092,
24.51361714,118.13645049,
24.48728522,118.07425347,
24.52476641,118.14913507,
24.51373806,118.11835841,
24.4796864,118.18682459,
24.50455162,118.1537814,
24.46926559,118.09382604,
24.53226361,118.13610138,
24.49792223,118.08242384,
24.52093962,118.09360248,
24.49439485,118.14178963,
24.49497547,118.10942632,
24.47138171,118.10369922,
24.47047237,118.08616851,
24.48285951,118.10804368,
24.46363507,118.09567089,
24.48838678,118.18195088,
24.47188367,118.0914356,
24.48789774,118.15932652,
24.46355415,118.07603418,